Date,Type,Transaction ID,Received Quantity,Received Currency,Received Cost Basis (USD),Received Wallet,Received Address,Received Comment,Sent Quantity,Sent Currency,Sent Cost Basis (USD),Sent Wallet,Sent Address,Sent Comment,Fee Amount,Fee Currency,Fee Cost Basis (USD),Realized Return (USD),Fee Realized Return (USD),Transaction Hash
07/14/2024 20:42:00,SELL,019223e4-5add-7f6c-a635-7268a8e7bcbd,1.27779732,USD,,Coinbase Cash (USD),,,0.00872872,SOL,1.29,Coinbase SOL Wallet,,,0.00766678,USD,,-0.02,,
06/14/2024 17:02:39,TRANSFER,019223e4-5af9-7021-98b0-9340a3b43988,0.00037207,ETH,0,Coinbase Staked ETH,,"Staked ETH
on Coinbase",0.00037207,ETH,0,Coinbase ETH Wallet,,"Staked ETH
on Coinbase",,,,0,,
09/12/2024 23:50:41,TRADE,019223e4-5a41-754a-979e-c846f9672a62,0.00047354,ETH,1.12,Coinbase ETH Wallet,,,1.11954327,USDC,1.86,Coinbase USDC Wallet,,,0.01343452,USDC,0.01,-0.75,0,
09/18/2024 9:00:32,SEND,019223e4-5b0a-7259-bc2e-08db8d9e2634,,,,,,,0.00047647,ETH,1.13,Coinbase ETH Wallet,,,,,,-0.03,,
08/15/2024 7:42:23,TRADE,019223e4-58cb-7e74-b69e-2cca56a7d9e8,22.05558006,VET,1,Coinbase VET Wallet,,,0.5,USDC,0.5,Coinbase USDC Wallet,,,0.5,USDC,0.5,-0.5,0.5,
07/14/2024 10:06:22,TRADE,019223e4-5981-73e6-9cdb-8e95d1064842,0.00030471,ETH,1,Coinbase ETH Wallet,,,0.0068106,SOL,1.01,Coinbase SOL Wallet,,,,,,-0.01,,
06/14/2024 15:48:32,TRADE,019223e4-594b-702f-a6a7-80d9320e97de,0.00027949,ETH,1,Coinbase ETH Wallet,,,0.37844038,RON,1.03,Coinbase RONIN Wallet,,,0.00382262,RON,0.01,-0.04,0,
06/14/2024 15:37:41,TRADE,019223e4-57e9-76b6-bdd4-473073cd4e74,0.499634,USDC,1,Coinbase USDC Wallet,,,0.00000747,BTC,0.52,Coinbase BTC Wallet,,,0.00000748,BTC,0.52,-0.52,0.48,
06/14/2024 14:08:16,INCOME,019223e4-495d-7029-a2e8-909310695e63,0.36866359,RON,1,Coinbase RONIN Wallet,,,,,,,,,,,,,,
06/14/2024 14:07:34,INCOME,019223e4-495a-74d9-8aa7-e530d16419d7,0.36873156,RON,1,Coinbase RONIN Wallet,,,,,,,,,,,,,,
06/14/2024 14:06:51,INCOME,019223e4-4957-7ad7-8311-fc53cce23c10,0.36879955,RON,1,Coinbase RONIN Wallet,,,,,,,,,,,,,,
06/14/2024 14:06:17,INCOME,019223e4-4954-70bf-b2f4-40da7c6650d2,0.36920804,RON,1,Coinbase RONIN Wallet,,,,,,,,,,,,,,
06/14/2024 14:05:46,INCOME,019223e4-4951-7a60-9828-6f02a5c6f67a,0.36907178,RON,1,Coinbase RONIN Wallet,,,,,,,,,,,,,,
04/26/2024 11:11:54,INCOME,019223e4-493f-754a-ac4b-9b14920932b6,0.214477,AKT,1,Coinbase AKT Wallet,,,,,,,,,,,,,,
04/26/2024 11:11:13,INCOME,019223e4-493c-7e9a-9cea-8ca309e70e62,0.214523,AKT,1,Coinbase AKT Wallet,,,,,,,,,,,,,,
04/26/2024 11:10:41,INCOME,019223e4-4939-7809-a4f3-3db98beff6ef,0.214546,AKT,1,Coinbase AKT Wallet,,,,,,,,,,,,,,
04/26/2024 11:09:13,INCOME,019223e4-4936-7f2e-8169-eb635261ee7d,0.13931457,NEAR,1,Coinbase NEAR Wallet,,,,,,,,,,,,,,
04/26/2024 11:08:15,INCOME,019223e4-4933-7a4b-b424-e56298b02f34,0.1394992,NEAR,1,Coinbase NEAR Wallet,,,,,,,,,,,,,,
04/26/2024 11:06:56,INCOME,019223e4-4930-759f-9403-8484401ab24d,0.13963555,NEAR,1,Coinbase NEAR Wallet,,,,,,,,,,,,,,
04/26/2024 11:05:07,INCOME,019223e4-492a-74f3-9fe3-fdf3124f2cba,25.52648372,VET,1,Coinbase VET Wallet,,,,,,,,,,,,,,
04/26/2024 11:04:03,INCOME,019223e4-4927-7768-9d9a-7c54b5efeb1b,25.52322613,,1,Coinbase VET Wallet,,,,,,,,,,,,,,
07/14/2024 10:06:28,TRANSFER,019223e4-5b02-7e3f-b831-ceae448a72e3,0.00030471,,0,Coinbase Staked ETH,,"Staked ETH
on Coinbase",0.00030471,ETH,0,Coinbase ETH Wallet,,"Staked ETH
on Coinbase",,,,0,,
08/29/2024 2:00:10,TRANSFER,019223e4-5b41-7e23-85e8-02cee526b40d,0.00658079,,0,Coinbase SOL Wallet,,,0.00658079,SOL,0,Coinbase Staked SOL,,,,,,0,,
07/10/2024 2:09:04,TRADE,019223e4-597b-7e54-94f0-b32774083252,0.00614016,,0.89,Coinbase SOL Wallet,,,0.0002871,ETH,1.05,Coinbase ETH Wallet,,,0.00000327,ETH,0.01,-0.17,0,
09/03/2024 7:27:12,TRADE,019223e4-59c5-7546-9d2c-7ad39cee326a,1.67683609,,0.88,Coinbase ARB Wallet,,,0.00658079,SOL,0.97,Coinbase SOL Wallet,,,,,,-0.09,,
07/10/2024 6:02:19,SEND,019223e4-5b16-7d44-8253-b2a195e2f3fc,,,,,,,0.00604016,SOL,0.88,Coinbase SOL Wallet,,,0.0001,SOL,0.01,-0.01,0,
07/08/2024 6:00:38,TRANSFER,019223e4-5ae6-75f6-a5aa-3552d0b5cb82,0.00029037,,0,Coinbase ETH Wallet,,"Unstaked ETH
on Coinbase",0.00029037,ETH,0,Coinbase Staked ETH,,"Unstaked ETH
on Coinbase",,,,0,,
09/07/2024 20:45:29,TRADE,019223e4-58d7-7392-a5f0-d2de37652ce3,0.419424,,0.84,Coinbase USDC Wallet,,,0.83801045,ARB,0.44,Coinbase ARB Wallet,,,0.83882564,ARB,0.44,-0.44,0.4,
06/14/2024 16:33:42,TRADE,019223e4-587b-79ca-afe0-cf8ef23056e0,0.409043,,0.82,Coinbase USDC Wallet,,,0.15947103,RON,0.43,Coinbase RONIN Wallet,,,0.15947102,RON,0.43,-0.43,0.39,
08/27/2024 9:44:35,TRADE,019223e4-58d1-7550-ad6a-69f8d86a8802,0.39655,,0.79,Coinbase USDT Wallet,,,0.396558,USDC,0.4,Coinbase USDC Wallet,,,0.39,USDC,0.39,-0.39,0.39,
08/25/2024 21:50:54,BUY,019223e4-578d-7691-b997-37bbef23b324,0.77,,0.77,Coinbase USDC Wallet,,,0.77,USD,,Coinbase Cash (USD),,,,,,,,
09/18/2024 9:00:34,SEND,019223e4-5ae9-7e32-a9d9-b05638b459ec,,,,,,,0.00032511,ETH,1.09,Coinbase Staked ETH,,,,,,-0.34,,
08/22/2024 8:58:07,BUY,019223e4-5a4d-7f08-9472-801abf1d9594,1.4,,0.73,Coinbase MATIC Wallet,,,0.7301,USD,,Coinbase Cash (USD),,,0.0043806,USD,,,,
08/27/2024 9:24:11,TRADE,019223e4-593f-7e95-8fda-9d8704263bd8,28.61754567,,0.71,Coinbase VET Wallet,,,1.38036521,MATIC,0.72,Coinbase MATIC Wallet,,,0.01963479,MATIC,0.01,-0.02,0,
08/30/2024 2:00:04,TRANSFER,019223e4-5b57-7cbe-a1eb-9ca61e0588b9,1.58445143,,0,Coinbase MATIC Wallet,,,1.58445143,MATIC,0,Coinbase Staked MATIC,,,,,,0,,
08/29/2024 13:43:53,TRADE,019223e4-5945-746b-ade7-b2b553ed1872,0.00435755,,0.65,Coinbase SOL Wallet,,,28.18048274,VET,0.7,Coinbase VET Wallet,,,0.43706293,VET,0.01,-0.06,0,
08/29/2024 13:43:58,TRANSFER,019223e4-5b29-7a55-a1d3-df8e2f03655a,0.00435755,,0,Coinbase Staked SOL,,"Staked SOL
on Coinbase",0.00435755,SOL,0,Coinbase SOL Wallet,,"Staked SOL
on Coinbase",,,,0,,
09/07/2024 20:46:04,TRADE,019223e4-58dd-71e7-83e8-6c8154552abc,0.299572,USDC,0.59,Coinbase USDC Wallet,,,0.80530044,MATIC,0.43,Coinbase MATIC Wallet,,,0.77915099,MATIC,0.41,-0.41,0.16,
06/14/2024 16:52:06,TRADE,019223e4-5801-7f8c-8582-f44ce5643dcf,0.05374523,UNI,0.58,Coinbase UNI Wallet,,,0.00000871,BTC,0.72,Coinbase BTC Wallet,,,0.00000015,BTC,0.01,-0.15,0,
08/25/2024 21:37:37,TRADE,019223e4-586d-702f-8f7e-484ddd993e16,0.00018951,ETH,0.55,Coinbase ETH Wallet,,,0.00000835,BTC,0.49,Coinbase BTC Wallet,,,0.00000016,BTC,0.01,0.05,0,
08/15/2024 19:46:08,TRADE,019223e4-5867-780e-bc41-26ff54900330,0.00000848,BTC,0.5,Coinbase BTC Wallet,,,22.32714695,VET,1.01,Coinbase VET Wallet,,,0.45330915,VET,0.02,-0.52,-0.01,
06/14/2024 16:50:40,TRADE,019223e4-599b-7cc3-9b68-2dbe8bc2bf8f,0.00336497,SOL,0.5,Coinbase SOL Wallet,,,0.19132999,RON,0.52,Coinbase RONIN Wallet,,,0.00390625,RON,0.01,-0.03,0,
06/14/2024 16:30:05,TRADE,019223e4-57ef-7f35-b036-63fc4f0ec771,0.00000383,BTC,0.5,Coinbase BTC Wallet,,,0.249634,USDC,0.5,Coinbase USDC Wallet,,,0.25,USDC,0.5,-0.5,0,
06/14/2024 17:18:12,SELL,019223e4-57af-7aea-9bdc-b419b44ca998,0.48,USD,,Coinbase Cash (USD),,,0.19360096,RON,0.52,Coinbase RONIN Wallet,,,0.24,USD,,-0.28,,
06/14/2024 17:02:11,TRANSFER,019223e4-5b10-7696-ad01-c2716f0f94cc,0.00336497,SOL,0,Coinbase Staked SOL,,"Staked SOL
on Coinbase",0.00336497,SOL,0,Coinbase SOL Wallet,,"Staked SOL
on Coinbase",,,,0,,
08/08/2024 2:35:30,SELL,019223e4-5a71-7baa-9eee-484976d62c6e,,USD,,Coinbase Cash (USD),,,1.1,ZETA,0.49,Coinbase ZETA Wallet,,,0.00277794,USD,,-0.02,,
06/20/2024 6:00:06,TRANSFER,019223e4-5b38-7f14-a91e-1e76697fcf5c,0.00336746,SOL,0,Coinbase SOL Wallet,,,0.00336746,SOL,0,Coinbase Staked SOL,,,,,,0,,
08/15/2024 5:57:36,BUY,019223e4-5a65-76c1-bf2d-6c1d47ebb2ef,0.00133171,BCH,0.45,Coinbase BCH Wallet,,,0.44519065,USD,,Coinbase Cash (USD),,,0.00267114,USD,,,,
08/15/2024 6:59:23,TRADE,019223e4-5a5f-763d-9b62-45943558c270,0.44480446,USDC,0.44,Coinbase USDC Wallet,,,0.00133171,BCH,0.45,Coinbase BCH Wallet,,,0.00266883,USDC,0,-0.01,0,
07/14/2024 8:06:53,SELL,019223e4-57b5-7872-8dce-962b4579619c,0.44,USD,,Coinbase Cash (USD),,,0.00307851,SOL,0.47,Coinbase SOL Wallet,,,0.22,USD,,-0.25,,
06/14/2024 23:12:46,TRADE,019223e4-5807-7d63-8c1c-48fa660ad21e,0.00011872,ETH,0.43,Coinbase ETH Wallet,,,0.00000639,BTC,0.45,Coinbase BTC Wallet,,,0.00000015,BTC,0.01,-0.03,0,
09/14/2024 12:10:02,RECEIVE,019223e4-490c-7a58-b3dc-e33cb9abb017,0.396142,USDC,0.4,Coinbase USDC Wallet,,,,,,,,,,,,,,
09/07/2024 20:46:45,TRADE,019223e4-58e3-7466-be4f-101d5afa42bb,0.39651,USDC,0.4,Coinbase USDC Wallet,,,0.39655,USDT,0.79,Coinbase USDT Wallet,,,,,,-0.39,,
06/14/2024 16:41:02,TRADE,019223e4-57f5-7b84-987b-e63c200cb34b,0.00000306,BTC,0.4,Coinbase BTC Wallet,,,0.2,USDC,0.4,Coinbase USDC Wallet,,,0.2,USDC,0.4,-0.4,0,
08/25/2024 21:44:19,SEND,019223e4-5b05-736a-b97e-9239ccd8679d,,,,,,,0.00012651,ETH,0.37,Coinbase ETH Wallet,,,0.000063,ETH,0.18,-0.19,-0.01,
06/14/2024 16:45:50,TRADE,019223e4-57fb-76fc-bdab-713664047504,0.00009258,ETH,0.33,Coinbase ETH Wallet,,,0.00000492,BTC,0.64,Coinbase BTC Wallet,,,0.00000015,BTC,0.02,-0.32,-0.01,
06/17/2024 6:46:47,TRADE,019223e4-5779-7fc6-a47f-c495856dde5d,0.00008365,CBETH,0.32,Coinbase CBETH Wallet,,ETH2/CBETH wrap/unwrap,0.00008985,ETH,0.32,Coinbase Staked ETH,,ETH2/CBETH wrap/unwrap,,,,0,,
07/15/2024 3:12:02,SELL,019223e4-57a5-7302-b1a5-470394278e4e,0.31,USD,,Coinbase Cash (USD),,,0.00081366,BCH,0.31,Coinbase BCH Wallet,,,,,,0,,
07/15/2024 0:46:29,TRADE,019223e4-58f5-7a04-b259-fcfd9c2bf438,0.00081366,BCH,0.31,Coinbase BCH Wallet,,,9.89485992,VET,0.3,Coinbase VET Wallet,,,,,,0.01,,
09/14/2024 12:12:54,RECEIVE,019223e4-4915-7269-9a4c-01a99cbdfd8c,0.297131,USDC,0.3,Coinbase USDC Wallet,,,,,,,,,,,,,,
07/14/2024 8:10:12,TRADE,019223e4-592f-719d-9a80-04878534eecc,9.89485992,VET,0.3,Coinbase VET Wallet,,,0.00199972,SOL,0.3,Coinbase SOL Wallet,,,0.00006896,SOL,0.01,-0.01,0,
06/19/2024 8:05:52,TRADE,019223e4-582b-7ac5-9777-23b08feac258,0.15263,USDC,0.3,Coinbase USDC Wallet,,,0.00000234,BTC,0.18,Coinbase BTC Wallet,,,0.0000023,BTC,0.16,-0.17,0.13,
06/14/2024 17:08:24,TRADE,019223e4-59a1-75ce-8728-c2f9454179b1,0.00202142,SOL,0.3,Coinbase SOL Wallet,,,0.02802932,UNI,0.3,Coinbase UNI Wallet,,,0.00096459,UNI,0.01,-0.01,0,
06/14/2024 17:09:31,TRANSFER,019223e4-5b13-7ed1-98bd-19307d6efcb0,0.00202142,SOL,0,Coinbase Staked SOL,,"Staked SOL
on Coinbase",0.00202142,SOL,0,Coinbase SOL Wallet,,"Staked SOL
on Coinbase",,,,0,,
09/15/2024 8:35:53,RECEIVE,019223e4-491b-7ff9-befd-19514947ad10,0.268039,USDC,0.27,Coinbase USDC Wallet,,,,,,,,,,,,,,
07/14/2024 8:09:06,TRADE,019223e4-59bf-76f5-b52c-e022827e3de7,0.02813202,UNI,0.25,Coinbase UNI Wallet,,,0.00165472,SOL,0.25,Coinbase SOL Wallet,,,0.00006895,SOL,0.01,-0.01,0,
07/15/2024 15:50:41,TRANSFER,019223e4-5b26-7f08-be8c-9d727689f8dc,0.00154665,SOL,0,Coinbase Staked SOL,,"Staked SOL
on Coinbase",0.00154665,SOL,0,Coinbase SOL Wallet,,"Staked SOL
on Coinbase",,,,0,,
07/15/2024 15:50:36,TRADE,019223e4-5985-7508-b99b-20526f3349e3,0.00154665,SOL,0.24,Coinbase SOL Wallet,,,0.00007158,ETH,0.23,Coinbase ETH Wallet,,,,,,0.01,,
06/20/2024 12:36:58,TRADE,019223e4-5855-7d09-8094-b1a75baf4bf4,0.00005977,ETH,0.23,Coinbase ETH Wallet,,,0.00000332,BTC,0.25,Coinbase BTC Wallet,,,0.00000015,BTC,0.01,-0.03,0,
06/20/2024 12:26:18,TRADE,019223e4-584f-7766-aed4-564f70877bbe,0.00000324,BTC,0.23,Coinbase BTC Wallet,,,0.00157327,SOL,0.23,Coinbase SOL Wallet,,,0.00007207,SOL,0.01,-0.01,0,
06/15/2024 12:58:19,TRADE,019223e4-580d-7f83-ae2c-54d6887f298b,0.00000325,BTC,0.23,Coinbase BTC Wallet,,,0.00006176,ETH,0.29,Coinbase ETH Wallet,,,0.0000028,ETH,0.01,-0.07,0,
06/20/2024 12:41:04,TRADE,019223e4-59b3-7f6f-b097-40eca54ab038,0.0000031,WBTC,0.22,Coinbase WBTC Wallet,,,0.00150841,SOL,0.23,Coinbase SOL Wallet,,,0.00007218,SOL,0.01,-0.02,0,
06/17/2024 7:03:48,TRADE,019223e4-5825-7815-ad1e-604d345baebb,0.0000031,BTC,0.22,Coinbase BTC Wallet,,,0.00005486,CBETH,0.21,Coinbase CBETH Wallet,,,0.00000262,CBETH,0.01,0,0,
06/15/2024 13:00:58,TRADE,019223e4-5813-7948-ae10-aecea288854e,0.419469,XRP,0.22,Coinbase XRP Wallet,,,0.0000031,BTC,0.22,Coinbase BTC Wallet,,,0.00000015,BTC,0.01,-0.01,0,
07/15/2024 3:09:39,SELL,019223e4-57c1-7f05-b0b5-b981f67aa71e,0.21,USD,,Coinbase Cash (USD),,,0.02505351,UNI,0.22,Coinbase UNI Wallet,,,,,,-0.01,,
06/20/2024 12:40:26,TRADE,019223e4-5975-7c61-af5d-86b26c512bd3,0.00144546,SOL,0.21,Coinbase SOL Wallet,,,0.00005699,ETH,0.22,Coinbase ETH Wallet,,,0.00000278,ETH,0.01,-0.02,0,
06/19/2024 6:39:19,TRADE,019223e4-58ab-7d37-bfae-2785fa6bbde1,0.104864,USDC,0.21,Coinbase USDC Wallet,,,0.00074504,SOL,0.12,Coinbase SOL Wallet,,,0.00078142,SOL,0.12,-0.12,0.1,
06/24/2024 4:33:15,TRADE,019223e4-59e1-7bf0-a9b1-606525bef3ba,0.23238996,ZETA,0.2,Coinbase ZETA Wallet,,,0.13359585,SAFE,0.21,Coinbase SAFE Wallet,,,0.00703135,SAFE,0.01,-0.02,0,
06/20/2024 11:55:48,TRADE,019223e4-5969-7d4c-b2cf-76c7bb514aaf,0.00005173,ETH,0.2,Coinbase ETH Wallet,,,0.00136328,SOL,0.2,Coinbase SOL Wallet,,,0.00007175,SOL,0.01,-0.01,0,
